1●2014●야구●LG 트윈스●63●81●잠실야구장
2●2014●야구●두산 베어스●119●25●잠실야구장
3●2014●야구●롯데 자이언츠●79●65●사직야구장
4●2014●야구●SSG 랜더스●57●87●인천SSG랜더스필드
5●2014●야구●KIA 타이거즈●15●129●광주기아챔피언스필드
6●2014●야구●키움 히어로즈●73●71●고척스카이돔
7●2014●야구●NC 다이노스●20●124●창원NC파크
8●2014●야구●KT 위즈●117●27●수원KT위즈파크
9●2014●야구●삼성 라이온즈●130●14●대구삼성라이온즈파크
10●2014●야구●한화 이글스●15●129●한화이글스파크
11●2015●야구●LG 트윈스●35●109●잠실야구장
12●2015●야구●두산 베어스●90●54●잠실야구장
13●2015●야구●롯데 자이언츠●78●66●사직야구장
14●2015●야구●SSG 랜더스●90●54●인천SSG랜더스필드
15●2015●야구●KIA 타이거즈●143●1●광주기아챔피언스필드
16●2015●야구●키움 히어로즈●139●5●고척스카이돔
17●2015●야구●NC 다이노스●81●63●창원NC파크
18●2015●야구●KT 위즈●17●127●수원KT위즈파크
19●2015●야구●삼성 라이온즈●82●62●대구삼성라이온즈파크
20●2015●야구●한화 이글스●74●70●한화이글스파크
21●2016●야구●LG 트윈스●83●61●잠실야구장
22●2016●야구●두산 베어스●140●4●잠실야구장
23●2016●야구●롯데 자이언츠●106●38●사직야구장
24●2016●야구●SSG 랜더스●114●30●인천SSG랜더스필드
25●2016●야구●KIA 타이거즈●55●89●광주기아챔피언스필드
26●2016●야구●키움 히어로즈●92●52●고척스카이돔
27●2016●야구●NC 다이노스●97●47●창원NC파크
28●2016●야구●KT 위즈●49●95●수원KT위즈파크
29●2016●야구●삼성 라이온즈●16●128●대구삼성라이온즈파크
30●2016●야구●한화 이글스●101●43●한화이글스파크
31●2017●야구●LG 트윈스●10●134●잠실야구장
32●2017●야구●두산 베어스●0●144●잠실야구장
33●2017●야구●롯데 자이언츠●16●128●사직야구장
34●2017●야구●SSG 랜더스●25●119●인천SSG랜더스필드
35●2017●야구●KIA 타이거즈●103●41●광주기아챔피언스필드
36●2017●야구●키움 히어로즈●1●143●고척스카이돔
37●2017●야구●NC 다이노스●92●52●창원NC파크
38●2017●야구●KT 위즈●114●30●수원KT위즈파크
39●2017●야구●삼성 라이온즈●8●136●대구삼성라이온즈파크
40●2017●야구●한화 이글스●84●60●한화이글스파크
41●2018●야구●LG 트윈스●91●53●잠실야구장
42●2018●야구●두산 베어스●59●85●잠실야구장
43●2018●야구●롯데 자이언츠●46●98●사직야구장
44●2018●야구●SSG 랜더스●54●90●인천SSG랜더스필드
45●2018●야구●KIA 타이거즈●45●99●광주기아챔피언스필드
46●2018●야구●키움 히어로즈●107●37●고척스카이돔
47●2018●야구●NC 다이노스●45●99●창원NC파크
48●2018●야구●KT 위즈●70●74●수원KT위즈파크
49●2018●야구●삼성 라이온즈●57●87●대구삼성라이온즈파크
50●2018●야구●한화 이글스●0●144●한화이글스파크
51●2019●야구●LG 트윈스●111●33●잠실야구장
52●2019●야구●두산 베어스●53●91●잠실야구장
53●2019●야구●롯데 자이언츠●46●98●사직야구장
54●2019●야구●SSG 랜더스●4●140●인천SSG랜더스필드
55●2019●야구●KIA 타이거즈●54●90●광주기아챔피언스필드
56●2019●야구●키움 히어로즈●122●22●고척스카이돔
57●2019●야구●NC 다이노스●139●5●창원NC파크
58●2019●야구●KT 위즈●110●34●수원KT위즈파크
59●2019●야구●삼성 라이온즈●106●38●대구삼성라이온즈파크
60●2019●야구●한화 이글스●127●17●한화이글스파크
61●2020●야구●LG 트윈스●26●118●잠실야구장
62●2020●야구●두산 베어스●8●136●잠실야구장
63●2020●야구●롯데 자이언츠●128●16●사직야구장
64●2020●야구●SSG 랜더스●11●133●인천SSG랜더스필드
65●2020●야구●KIA 타이거즈●102●42●광주기아챔피언스필드
66●2020●야구●키움 히어로즈●24●120●고척스카이돔
67●2020●야구●NC 다이노스●139●5●창원NC파크
68●2020●야구●KT 위즈●125●19●수원KT위즈파크
69●2020●야구●삼성 라이온즈●110●34●대구삼성라이온즈파크
70●2020●야구●한화 이글스●110●34●한화이글스파크
71●2021●야구●LG 트윈스●140●4●잠실야구장
72●2021●야구●두산 베어스●65●79●잠실야구장
73●2021●야구●롯데 자이언츠●98●46●사직야구장
74●2021●야구●SSG 랜더스●105●39●인천SSG랜더스필드
75●2021●야구●KIA 타이거즈●5●139●광주기아챔피언스필드
76●2021●야구●키움 히어로즈●67●77●고척스카이돔
77●2021●야구●NC 다이노스●106●38●창원NC파크
78●2021●야구●KT 위즈●102●42●수원KT위즈파크
79●2021●야구●삼성 라이온즈●76●68●대구삼성라이온즈파크
80●2021●야구●한화 이글스●141●3●한화이글스파크
81●2022●야구●LG 트윈스●7●2●잠실야구장
82●2022●야구●두산 베어스●6●3●잠실야구장
83●2022●야구●롯데 자이언츠●4●5●사직야구장
84●2022●야구●SSG 랜더스●9●0●인천SSG랜더스필드
85●2022●야구●KIA 타이거즈●4●5●광주기아챔피언스필드
86●2022●야구●키움 히어로즈●5●4●고척스카이돔
87●2022●야구●NC 다이노스●2●7●창원NC파크
88●2022●야구●KT 위즈●2●7●수원KT위즈파크
89●2022●야구●삼성 라이온즈●4●5●대구삼성라이온즈파크
90●2022●야구●한화 이글스●2●7●한화이글스파크
